flight_id,aircraft_type,zero_fuel_weight_kg,planned_duration_min,planned_altitude_ft,max_altitude_ft,avg_speed_kts,median_speed_kts,std_dev_altitude_ft,duration_climb_min,duration_cruise_min,avg_fuel_flow_climb_kgs,avg_fuel_flow_cruise_kgs,avg_headwind_kts,departure_temperature_c,had_bad_weather,engine_health_modifier,flight_path_deviation_pct,weight_x_wind,alt_x_temp,total_fuel_consumed_kg
FLIGHT_0845,B777,149792,502,33137,33407,412,413,63.51,31.39,440.21,7.8,5.01,25.41,26,0,1.021,1.79,3805732.33,861562,175146.7
FLIGHT_0846,A330,151631,642,39816,39525,429,430,27.42,37.46,568.27,7.6,5.24,19.75,25,1,1.048,1.82,2994109.83,995400,232472.58
FLIGHT_0847,A320,57841,184,38640,38705,413,414,135.91,36.66,111.81,4.89,3.19,-2.29,30,0,1.02,2.29,-132541.03,1159200,34973.24
FLIGHT_0848,B777,150546,457,30905,31162,456,454,115.78,30.69,393.89,7.74,5.24,5.89,22,0,1.041,0.4,887136.29,679910,150902.27
FLIGHT_0849,B737,45164,87,33505,33167,414,414,128.78,34.81,14.57,4.86,3.16,5.98,26,1,1.023,1.75,270299.41,871130,16497.26
FLIGHT_0850,A320,45360,100,36962,37194,439,438,46.63,34.94,28.06,4.46,2.91,-19.41,34,1,1.035,2.15,-880292.89,1256708,13665.18
FLIGHT_0851,B737,51483,189,34775,34793,425,426,33.77,32.84,121.46,5.02,3.34,-6.35,30,0,1.055,0.51,-326819.41,1043250,36683.98
FLIGHT_0852,B777,164023,703,39925,40336,438,439,39.4,40.12,620.8,8.22,5.68,19.96,30,0,1.035,2.01,3273544.1,1197750,270392.48
FLIGHT_0853,B777,151322,410,34021,33708,406,405,25.95,35.12,338.48,7.58,5.14,-13.96,30,1,0.998,0.34,-2112371.63,1020630,115377.02
FLIGHT_0854,A330,168087,457,37176,37218,427,429,88.95,39.38,381.02,8.81,5.66,16.17,23,1,1.065,0.93,2717432.17,855048,177209.13
FLIGHT_0855,A330,161356,367,36301,35915,423,422,62.48,35.81,294.43,8.15,5.54,16.35,33,1,1.064,1.34,2637848.06,1197933,138301.2
FLIGHT_0856,B777,145488,715,38687,39162,448,448,53.14,38.48,638.04,7.66,5.21,9.16,25,1,1.05,1.07,1331980.86,967175,244113.09
FLIGHT_0857,B737,54355,190,34816,34866,439,440,125.86,33.6,125.43,5.0,3.31,-6.09,25,0,1.034,0.95,-331145.24,870400,36561.11
FLIGHT_0858,A330,171730,580,35249,35413,411,411,68.89,38.21,503.78,7.92,5.64,23.32,22,0,0.991,0.98,4004125.07,775478,211810.15
FLIGHT_0859,A330,130614,709,37535,37882,416,415,140.15,35.28,635.36,7.38,4.82,25.4,25,1,0.982,1.56,3318189.41,938375,228616.11
FLIGHT_0860,A330,123318,552,35246,35115,454,455,55.99,36.44,479.84,7.53,4.76,3.51,30,0,1.032,1.38,432452.69,1057380,166136.65
FLIGHT_0861,B777,177698,300,34340,34591,434,436,23.3,33.1,231.32,8.19,5.8,-9.85,28,1,1.069,1.28,-1750896.19,961520,103493.64
FLIGHT_0862,A320,62798,86,38067,38066,413,414,50.23,40.79,1.84,5.18,3.57,-17.01,27,1,1.061,2.49,-1068088.53,1027809,14308.84
FLIGHT_0863,A320,48824,115,37477,37634,457,457,51.38,40.2,38.43,4.93,3.14,20.65,33,0,1.006,1.73,1008008.48,1236741,25032.03
FLIGHT_0864,A330,141359,396,34856,34858,401,399,41.29,32.18,334.06,7.34,5.1,-19.38,23,1,1.061,0.08,-2739451.06,801688,113877.26
FLIGHT_0865,A320,64392,70,30390,30829,450,452,70.93,31.81,3.4,5.35,3.42,1.91,30,0,0.982,1.25,122722.74,911700,12950.87
FLIGHT_0866,B777,177422,322,39855,40288,420,421,62.36,41.66,240.28,9.09,5.68,-11.77,27,1,1.011,0.46,-2088863.14,1076085,104075.98
FLIGHT_0867,A330,153590,505,30429,30434,454,455,80.34,30.3,443.61,8.12,5.21,-13.88,33,1,1.034,1.3,-2131784.09,1004157,152436.77
FLIGHT_0868,A330,155683,501,38216,38025,459,459,112.45,37.13,429.41,8.73,5.53,22.19,31,1,1.066,2.15,3454481.93,1184696,197556.51
FLIGHT_0869,B737,62600,200,40615,40141,431,432,116.42,37.92,127.88,5.37,3.69,-4.62,27,1,0.989,2.55,-289415.45,1096605,42228.82
FLIGHT_0870,B777,166839,699,38252,38744,407,406,110.74,38.1,619.64,8.43,5.51,1.14,26,1,1.022,2.78,190323.17,994552,240511.77
FLIGHT_0871,B737,53181,162,33031,32724,474,476,25.9,32.78,96.92,4.67,3.22,-4.38,33,1,1.059,1.74,-233178.81,1090023,31203.78
FLIGHT_0872,B777,153260,418,39989,39821,432,430,143.25,40.64,340.07,7.7,5.19,-3.03,24,1,0.991,0.48,-463687.03,959736,125369.95
FLIGHT_0873,A330,136760,597,40742,41224,446,447,135.72,41.8,515.65,7.14,4.97,-3.34,30,1,0.995,2.92,-456402.78,1222260,176103.8
FLIGHT_0874,B777,178046,436,35756,35535,430,432,24.7,35.51,367.42,8.73,5.85,4.5,24,1,0.988,1.03,800379.61,858144,153370.1
FLIGHT_0875,B737,45517,124,36446,36146,423,424,74.88,35.69,55.18,4.61,3.2,15.67,29,0,1.014,1.69,713357.34,1056934,25738.89
FLIGHT_0876,B737,47509,107,40634,40961,459,457,98.18,41.65,27.18,4.75,3.16,16.97,34,1,1.041,0.07,806437.82,1381556,22941.91
FLIGHT_0877,B737,55001,226,39940,39854,454,454,76.74,40.13,142.58,4.92,3.28,20.89,30,1,1.02,2.05,1149178.64,1198200,51393.88
FLIGHT_0878,B737,61719,143,34365,34430,418,420,33.18,34.3,74.69,5.44,3.44,12.93,23,0,1.068,0.43,798078.81,790395,33232.71
FLIGHT_0879,A320,64240,127,30452,30368,457,458,101.63,27.64,72.35,5.37,3.57,-12.67,32,0,1.009,1.14,-813638.06,974464,23666.21
FLIGHT_0880,B777,176915,650,36090,36164,437,437,137.23,35.74,580.8,8.27,5.71,-14.44,33,0,1.025,0.65,-2554933.34,1190970,212360.09
FLIGHT_0881,A330,152647,677,33639,33413,428,429,115.09,35.37,603.84,7.95,5.33,-3.68,26,1,0.986,2.53,-562344.77,874614,212235.49
FLIGHT_0882,A330,132894,525,30305,30697,479,481,120.74,29.6,467.53,7.27,4.94,24.36,25,1,0.993,0.34,3236845.23,757625,172532.33
FLIGHT_0883,B777,131044,520,39592,39393,433,432,91.19,41.5,436.65,7.45,4.82,-10.02,34,0,1.031,2.04,-1313155.84,1346128,147437.76
FLIGHT_0884,A320,49279,216,32637,32160,414,413,104.5,34.94,144.52,4.56,3.17,1.4,29,0,1.041,2.58,68830.85,946473,41704.19
FLIGHT_0885,A330,161140,425,39525,39746,475,474,50.37,38.93,351.46,8.06,5.32,-11.82,23,1,1.066,2.69,-1904515.8,909075,138816.31
FLIGHT_0886,B737,55931,188,35869,35419,416,417,122.21,36.09,113.09,4.76,3.3,0.34,29,0,1.011,0.71,19252.49,1040201,35363.18
FLIGHT_0887,B777,122722,576,38390,38260,462,460,83.28,38.34,498.54,6.71,4.56,5.12,27,0,1.052,1.49,628309.94,1036530,169353.75
FLIGHT_0888,B737,55791,172,31013,30855,479,479,57.22,31.96,111.73,5.14,3.31,-9.95,25,0,1.018,1.03,-555380.59,775325,31964.3
FLIGHT_0889,A330,146528,637,32777,32803,451,450,136.4,30.34,579.52,8.26,5.21,1.35,26,0,1.068,1.58,197571.11,852202,216335.45
FLIGHT_0890,A330,145147,547,38516,38416,456,457,140.27,36.07,472.0,7.69,5.03,-17.64,25,0,1.049,2.9,-2560426.72,962900,159400.63
FLIGHT_0891,A320,52192,147,36007,35972,432,433,48.64,33.73,80.21,4.53,3.23,-17.93,31,0,1.011,0.65,-935818.13,1116217,23087.18
FLIGHT_0892,A330,137837,621,37867,38249,432,432,44.39,36.8,549.5,7.26,5.0,-8.76,34,0,0.985,1.77,-1207142.53,1287478,175712.57
FLIGHT_0893,B737,61551,134,40748,40929,465,466,140.09,39.75,52.7,5.12,3.45,23.16,32,1,1.02,1.14,1425748.86,1303936,30892.78
FLIGHT_0894,B737,55759,188,34832,35056,452,451,22.67,36.28,115.4,5.33,3.34,8.7,30,0,0.994,1.53,484832.17,1044960,39496.16
FLIGHT_0895,A330,129722,397,31377,31382,418,419,21.59,29.86,338.86,7.13,4.66,-5.48,25,0,1.041,2.53,-710236.35,784425,113660.68
FLIGHT_0896,A330,150685,308,36901,36846,474,475,38.23,35.36,239.86,7.76,5.37,-16.34,24,1,1.001,2.18,-2462612.93,885624,91200.28
FLIGHT_0897,A330,125919,627,33548,33217,435,434,148.14,34.41,558.62,6.89,4.92,-3.29,26,1,1.07,2.34,-414347.32,872248,195546.23
FLIGHT_0898,B737,47660,103,40764,40552,435,435,56.91,39.45,26.4,4.6,3.1,-0.77,34,1,1.009,1.77,-36537.15,1385976,18402.1
FLIGHT_0899,B737,63914,179,39535,39812,438,437,72.27,40.56,96.34,5.03,3.39,18.03,24,0,1.008,2.01,1152446.19,948840,39536.73
FLIGHT_0900,B737,50879,150,39148,39529,457,456,48.25,39.14,73.32,5.08,3.38,17.04,24,1,1.053,1.86,867122.81,939552,35404.25
FLIGHT_0901,A330,148416,446,36634,36962,473,473,147.38,35.09,375.35,8.3,5.41,13.24,34,0,1.002,2.55,1964563.58,1245556,155092.81
FLIGHT_0902,B737,63779,96,36687,36329,433,434,26.25,37.39,17.79,5.53,3.56,-17.47,28,0,1.051,2.35,-1113922.14,1027236,16919.43
FLIGHT_0903,A320,51386,64,34676,34967,407,408,67.3,32.12,3.77,4.9,3.21,13.32,22,0,1.059,0.19,684388.16,762872,13321.49
FLIGHT_0904,B777,131007,305,37610,37463,430,431,108.59,38.53,228.48,6.83,4.58,13.39,28,0,1.031,2.04,1754498.56,1053080,91663.41
FLIGHT_0905,B737,61512,185,34839,35127,417,416,101.0,36.28,110.37,4.85,3.41,13.52,29,1,0.982,1.2,831690.79,1010331,39141.64
FLIGHT_0906,B777,177361,344,35686,35258,464,462,105.24,36.89,270.12,8.84,5.75,1.41,32,1,1.036,0.37,249652.22,1141952,121551.29
FLIGHT_0907,A320,64701,102,35254,35395,468,467,104.36,34.76,30.09,5.07,3.41,-13.34,22,1,1.017,0.93,-863320.0,775588,17031.85
FLIGHT_0908,A320,60599,174,34588,34186,419,418,117.75,36.72,99.67,4.93,3.42,-9.91,32,0,0.991,1.37,-600627.23,1106816,30946.57
FLIGHT_0909,B737,49070,62,39663,39340,474,473,78.62,40.0,0.0,4.74,3.17,12.5,33,1,1.015,0.88,613501.02,1308879,15199.39
FLIGHT_0910,B777,146779,527,39130,39276,432,433,103.38,39.53,444.65,7.86,5.22,-1.99,23,1,1.04,2.9,-292367.45,899990,171790.02
FLIGHT_0911,B777,140498,424,39823,39924,416,415,83.7,39.75,345.89,7.99,5.05,-0.53,27,0,1.017,0.84,-73771.2,1075221,129577.93
FLIGHT_0912,A330,172116,520,33854,33943,414,413,131.2,36.25,446.55,8.29,5.53,18.4,25,0,1.067,2.34,3166606.07,846350,200189.49
FLIGHT_0913,A320,46762,215,32827,32866,473,473,126.11,34.7,146.33,4.76,3.16,16.58,27,0,1.004,1.36,775557.39,886329,45185.47
FLIGHT_0914,A330,178286,530,36252,36674,406,405,43.08,36.81,455.29,9.08,5.84,-11.74,22,1,0.985,2.43,-2093344.84,797544,175777.3
FLIGHT_0915,B777,161319,472,33432,33923,413,415,79.68,34.14,406.96,8.57,5.53,-10.66,29,0,1.019,0.82,-1719592.92,969528,151562.85
FLIGHT_0916,A330,146079,351,37211,37603,413,413,104.36,40.11,275.3,7.59,5.33,8.41,22,0,1.067,2.85,1228614.63,818642,124388.77
FLIGHT_0917,B737,49941,153,34810,34836,477,479,91.75,36.49,79.59,4.95,3.24,-17.72,28,0,1.042,1.43,-885029.22,974680,25327.6
FLIGHT_0918,A330,176393,371,36422,35982,406,404,31.04,38.51,291.39,8.83,5.85,10.43,26,0,1.047,0.41,1839352.39,946972,139331.19
FLIGHT_0919,A320,58305,190,40475,40199,429,428,53.11,42.16,107.95,4.81,3.34,19.87,29,0,1.066,2.77,1158649.67,1173775,45128.07
FLIGHT_0920,A320,60553,128,30721,30342,410,410,108.95,33.32,61.6,5.56,3.55,12.94,34,1,1.039,2.59,783336.66,1044514,30989.83
FLIGHT_0921,B777,135299,345,33006,32514,429,429,60.04,30.48,284.53,7.79,4.87,-13.56,32,0,0.992,1.69,-1835077.72,1056192,93488.01
FLIGHT_0922,B777,176280,671,37175,37117,441,442,51.68,34.54,600.91,8.4,5.84,-12.54,32,0,1.069,1.94,-2209771.1,1189600,238421.41
FLIGHT_0923,A330,132951,532,32921,32797,443,443,129.95,33.09,465.1,6.9,4.87,15.91,25,1,1.043,1.92,2115461.0,823025,175622.04
FLIGHT_0924,A320,59273,224,35183,35636,418,417,125.21,33.54,156.24,5.34,3.44,-12.3,26,0,1.069,0.82,-729338.69,914758,43980.72
FLIGHT_0925,A320,50512,173,40657,40629,432,433,143.56,38.72,96.38,4.67,3.26,19.55,28,0,1.066,1.66,987492.28,1138396,39702.33
FLIGHT_0926,A330,144330,366,36423,36809,458,458,44.49,36.15,291.28,8.08,5.18,14.81,34,1,1.058,1.91,2137711.88,1238382,128791.38
FLIGHT_0927,A330,152962,712,33496,33269,410,411,144.35,34.06,646.75,8.32,5.32,0.5,24,0,1.062,0.97,75990.27,803904,243175.95
FLIGHT_0928,A320,50881,62,30194,30246,459,461,149.97,31.83,0.0,5.21,3.33,-1.49,26,0,1.036,2.84,-75679.44,785044,12319.12
FLIGHT_0929,B777,150259,464,33323,33182,414,414,83.76,31.96,399.5,7.44,5.2,-10.52,22,0,1.067,2.52,-1581215.47,733106,147092.11
FLIGHT_0930,B737,56341,135,39401,39175,456,455,69.46,37.36,64.06,5.05,3.25,-8.43,27,0,1.053,1.85,-475072.6,1063827,25611.76
FLIGHT_0931,B737,47723,103,31845,31719,458,457,107.65,29.71,44.68,4.57,3.13,25.3,27,1,1.01,2.54,1207523.23,859815,22610.84
FLIGHT_0932,A330,171294,679,38664,38481,450,452,23.18,40.07,602.76,8.1,5.53,9.61,27,1,1.035,0.04,1646529.41,1043928,240192.43
FLIGHT_0933,B777,136763,548,40868,41278,429,428,36.15,43.15,458.19,7.45,4.97,10.59,32,0,1.009,1.8,1447656.44,1307776,172482.31
FLIGHT_0934,B737,64065,109,30744,30935,413,414,97.94,28.2,54.63,4.86,3.42,19.2,28,0,1.059,2.18,1230333.92,860832,25958.84
FLIGHT_0935,A330,122258,653,34459,34153,462,461,50.36,32.97,584.18,6.51,4.62,29.08,29,0,1.003,2.6,3555767.03,999311,211586.2
FLIGHT_0936,A330,165394,544,35114,35119,444,444,45.75,34.74,474.64,8.35,5.53,-15.45,32,0,1.023,1.05,-2554926.02,1123648,170572.77
FLIGHT_0937,A330,153340,591,31239,30779,403,403,96.23,30.66,527.79,8.51,5.34,-17.12,24,0,0.996,1.99,-2625689.38,749736,175443.65
FLIGHT_0938,B737,63468,170,35952,35763,403,402,113.36,33.69,100.88,5.21,3.48,17.49,30,0,0.986,1.59,1110004.79,1078560,37884.66
FLIGHT_0939,A330,138874,583,39754,39991,463,462,58.24,39.71,504.97,6.81,4.84,-2.68,29,1,1.012,1.43,-371741.92,1152866,168163.28
FLIGHT_0940,B737,48372,93,40130,39739,466,467,119.6,40.06,17.32,4.81,3.25,-14.86,28,1,1.035,0.62,-718803.44,1123640,15551.84
FLIGHT_0941,A330,121008,686,33380,33766,407,405,142.6,35.8,618.16,7.15,4.52,12.78,32,0,0.988,2.97,1546467.07,1068160,201379.92
FLIGHT_0942,B737,56919,237,40138,39667,442,440,99.79,40.56,156.5,5.08,3.44,-8.47,33,0,0.981,1.23,-482136.09,1324554,43743.72
FLIGHT_0943,B777,150807,532,31192,31615,435,436,53.81,31.07,470.74,8.04,5.3,11.02,33,0,1.019,2.84,1661893.79,1029336,183936.12
FLIGHT_0944,B777,121488,398,40541,40898,433,434,130.65,40.56,319.64,6.93,4.68,-1.58,34,1,1.033,2.17,-192497.33,1378394,114886.46
FLIGHT_0945,B777,158644,701,31711,31494,449,451,112.75,31.88,635.58,8.0,5.27,-9.64,24,1,0.981,1.45,-1530092.91,761064,208424.73
FLIGHT_0946,A320,58803,74,38467,38523,468,469,96.52,38.9,0.0,5.04,3.4,-16.19,31,0,0.984,2.7,-951950.82,1192477,12237.91
FLIGHT_0947,A330,136887,380,31987,31987,460,459,56.06,31.73,319.17,7.5,4.89,8.28,22,0,0.993,0.93,1133161.45,703714,115172.83
FLIGHT_0948,A330,165423,422,36820,36830,418,416,86.77,34.46,354.51,7.86,5.52,29.61,28,1,1.052,2.53,4898634.58,1030960,166687.1
FLIGHT_0949,A320,64607,75,32010,32082,433,432,139.95,29.81,17.82,5.5,3.55,15.52,23,0,1.029,1.96,1002717.54,736230,17499.0
FLIGHT_0950,A330,129859,542,33323,32904,458,458,37.73,33.72,473.16,7.06,4.95,26.33,33,1,0.996,0.37,3419104.56,1099659,179705.91
FLIGHT_0951,A320,57278,117,38231,38189,421,422,128.58,37.89,42.56,4.66,3.28,-8.54,34,0,1.008,0.98,-488995.32,1299854,19634.14
FLIGHT_0952,A320,64760,123,35169,35087,437,439,42.88,33.52,59.64,4.94,3.45,8.4,27,0,1.014,1.97,544205.6,949563,25989.87
FLIGHT_0953,A330,127691,606,32753,32606,426,428,50.57,35.6,532.24,7.01,4.84,-3.77,33,1,0.997,0.78,-481828.93,1080849,169490.56
FLIGHT_0954,A330,169391,356,31178,30892,465,463,118.68,33.59,292.12,7.91,5.62,18.63,31,1,1.051,2.18,3155867.59,966518,136876.39
FLIGHT_0955,B777,155189,425,37762,38055,477,477,140.59,40.63,340.76,7.74,5.14,-2.27,34,0,0.992,1.2,-352456.76,1283908,125781.9
FLIGHT_0956,B777,166541,440,32297,32036,425,425,131.3,29.98,377.39,8.27,5.55,-18.96,29,0,1.037,0.79,-3157141.66,936613,136710.14
FLIGHT_0957,B777,162219,582,39575,39677,456,454,109.46,39.35,506.7,7.36,5.21,13.48,28,0,1.041,2.28,2186609.71,1108100,202415.36
FLIGHT_0958,B777,135817,303,31814,32307,448,446,116.52,31.28,240.34,7.12,4.91,-19.58,25,0,1.026,1.5,-2658984.2,795350,81077.04
FLIGHT_0959,A320,53989,225,39430,39431,472,473,86.35,38.3,147.96,5.16,3.35,9.88,25,0,1.054,1.11,533623.83,985750,50280.93
FLIGHT_0960,A320,47443,225,39345,39444,460,459,60.27,38.65,148.46,4.6,3.22,27.5,33,0,1.008,0.56,1304538.39,1298385,51342.1
FLIGHT_0961,B777,165023,420,40716,40909,466,465,28.77,39.18,339.0,8.22,5.65,22.77,32,1,1.003,2.06,3757958.27,1302912,155943.01
FLIGHT_0962,B777,167579,611,35610,35208,462,462,64.12,38.53,533.57,8.67,5.54,-2.89,31,1,1.059,2.89,-483540.65,1103910,216956.79
FLIGHT_0963,A320,45728,156,31555,31924,471,471,126.66,32.13,89.45,4.49,3.11,-13.85,23,1,1.026,0.98,-633216.39,725765,24893.06
FLIGHT_0964,A330,158241,312,40136,39762,458,457,50.36,41.19,232.3,7.88,5.29,21.64,26,1,1.022,2.49,3423937.9,1043536,111259.08
FLIGHT_0965,B737,52096,85,35116,34959,466,464,138.21,37.7,8.96,4.71,3.14,14.14,26,1,0.999,1.46,736539.42,913016,16232.51
FLIGHT_0966,B777,124645,715,38138,38460,453,451,51.91,37.4,643.23,6.88,4.77,9.54,22,1,1.005,2.25,1189518.91,839036,217863.68
FLIGHT_0967,A320,63405,199,40153,39893,438,439,74.28,42.09,117.44,4.89,3.43,16.49,22,1,1.016,2.88,1045785.52,883366,45586.08
FLIGHT_0968,B737,45194,65,37669,37823,452,451,75.94,34.71,0.0,4.9,3.1,7.0,29,0,1.064,1.14,316413.85,1092401,12978.35
FLIGHT_0969,B737,59336,134,33672,33785,440,442,146.06,35.93,62.64,4.98,3.41,18.94,33,0,1.005,2.59,1123893.43,1111176,30288.53
FLIGHT_0970,B777,159184,312,32764,32722,417,418,102.62,30.95,253.2,8.29,5.52,-13.85,28,0,1.045,2.53,-2204755.48,917392,102406.52
FLIGHT_0971,B737,52622,212,35828,35701,402,402,124.91,36.69,138.83,4.98,3.23,-6.86,27,0,1.012,1.42,-361244.66,967356,38532.51
FLIGHT_0972,B737,63974,231,40390,40864,436,435,45.54,41.61,145.74,5.18,3.49,0.81,33,1,1.046,0.56,51923.95,1332870,49035.8
FLIGHT_0973,B777,140419,365,36311,36737,434,434,55.46,36.82,288.94,8.0,5.12,-14.37,25,1,1.007,1.23,-2018249.17,907775,104114.53
FLIGHT_0974,B737,63639,67,36549,36184,460,461,139.08,34.22,1.34,4.86,3.42,-11.51,23,1,1.05,1.82,-732456.91,840627,11640.97
FLIGHT_0975,B777,133134,343,36221,36495,409,410,62.62,38.56,264.99,7.43,4.99,-17.72,34,0,0.986,2.3,-2359601.62,1231514,91926.89
FLIGHT_0976,B777,132870,551,30767,30661,407,407,121.8,28.63,491.73,7.12,4.93,-13.9,33,0,1.033,0.18,-1846934.38,1015311,153424.43
FLIGHT_0977,B777,146285,504,36900,36421,400,398,135.1,38.89,430.62,7.38,5.24,24.35,25,1,1.001,2.52,3562222.74,922500,177831.71
FLIGHT_0978,B737,62406,202,32727,32684,425,424,78.19,31.05,142.48,4.93,3.48,-6.95,22,1,1.007,1.86,-433696.43,719994,39675.99
FLIGHT_0979,B777,142208,574,36663,36307,430,429,81.04,33.92,506.01,7.61,4.85,27.26,28,1,0.988,2.75,3876134.53,1026564,191562.86
FLIGHT_0980,B777,143628,397,36917,36965,403,402,75.48,39.85,318.29,7.19,5.12,8.48,31,1,1.012,2.17,1218012.75,1144427,127351.78
FLIGHT_0981,A320,54388,101,37581,37452,432,434,86.13,35.0,29.73,5.24,3.32,-1.23,23,1,1.062,2.03,-66904.68,864363,20398.2
FLIGHT_0982,A330,162850,332,31743,32178,473,474,140.76,30.83,267.76,7.91,5.55,22.89,27,1,1.013,0.31,3727157.52,857061,120007.75
FLIGHT_0983,A330,179373,304,38164,38047,428,426,35.39,37.5,231.09,9.0,5.85,23.18,23,1,1.058,1.36,4157834.26,877772,124059.17
FLIGHT_0984,B777,130284,348,30355,30199,401,401,137.71,31.58,284.37,7.77,4.87,-11.62,23,1,1.039,2.21,-1514501.43,698165,100290.38
FLIGHT_0985,A320,56094,222,40519,40375,476,477,93.88,42.32,134.87,5.25,3.28,16.33,26,0,0.996,0.65,916192.18,1053494,47871.79
FLIGHT_0986,B777,151045,319,39424,39042,468,467,104.59,40.4,239.02,7.49,5.33,-18.63,33,0,1.032,0.28,-2813344.7,1300992,92180.49
FLIGHT_0987,B737,58973,235,36529,36831,459,458,42.46,33.75,165.72,5.01,3.38,0.96,33,1,0.991,1.15,56812.21,1205457,46588.93
FLIGHT_0988,A330,147248,560,34851,35057,409,410,25.35,34.75,490.3,7.4,5.16,24.07,22,1,1.038,0.24,3544975.4,766722,198392.2
FLIGHT_0989,A330,155584,553,39519,39578,449,448,24.65,40.97,469.9,8.27,5.31,-3.1,22,1,0.988,1.03,-482699.51,869418,171168.6
FLIGHT_0990,A320,45061,227,33246,33296,464,466,113.4,34.86,154.85,4.87,3.12,4.4,22,1,1.027,2.23,198111.64,731412,44709.73
FLIGHT_0991,A320,49577,107,37488,37032,435,436,117.82,38.85,33.36,4.63,3.16,27.38,23,1,1.05,0.02,1357661.51,862224,24577.83
FLIGHT_0992,A320,49889,146,38319,38735,477,477,110.87,35.97,77.58,4.77,3.12,19.31,22,1,1.06,2.13,963197.72,843018,33581.33
FLIGHT_0993,A330,153368,685,39045,39279,433,431,139.59,40.35,604.98,7.95,5.1,0.37,22,1,0.982,0.5,56080.84,858990,205539.97
FLIGHT_0994,A320,50878,168,40086,40244,420,419,65.59,41.07,82.08,5.37,3.41,-17.2,27,0,1.029,0.48,-875193.78,1082322,29343.38
FLIGHT_0995,B737,60533,132,38984,38652,401,401,59.41,38.36,53.48,4.86,3.34,26.67,28,0,0.98,1.34,1614451.85,1091552,28689.71
FLIGHT_0996,B737,56064,182,34772,34866,423,425,20.84,34.97,111.81,5.06,3.22,-0.81,22,1,1.044,0.62,-45419.62,764984,35634.99
FLIGHT_0997,B777,170930,363,34898,34725,450,449,44.3,32.96,299.7,8.19,5.7,2.84,34,0,0.989,1.2,484885.26,1186532,122918.91
FLIGHT_0998,A320,59586,162,33598,33555,410,411,47.81,32.78,94.46,4.98,3.49,-10.98,23,0,1.053,2.02,-654134.79,772754,30749.54
FLIGHT_0999,A330,131590,347,30761,30640,455,454,83.14,31.05,285.53,7.03,4.93,-14.28,22,0,0.988,0.41,-1879496.56,676742,92057.95
FLIGHT_1000,B737,46369,202,37430,37524,465,465,71.9,39.47,126.9,4.84,3.21,-16.45,27,0,0.992,2.03,-762990.52,1010610,32887.33
FLIGHT_1001,A330,143725,536,33462,33608,479,480,100.09,33.8,467.02,7.19,5.03,-8.61,33,0,1.04,1.58,-1237740.05,1104246,160240.52
FLIGHT_1002,A330,139834,533,33721,34212,457,457,89.48,32.82,467.1,7.19,4.92,8.34,28,0,0.997,1.87,1166747.25,944188,163721.19
FLIGHT_1003,A320,49075,90,30392,29949,416,414,126.12,27.89,36.75,4.72,3.24,10.2,22,1,1.003,0.18,500761.81,668624,18154.93
FLIGHT_1004,A330,164258,322,33451,33001,439,441,61.89,32.63,255.73,8.66,5.49,18.79,30,0,1.042,1.02,3087194.35,1003530,118931.38
FLIGHT_1005,A320,51283,167,32316,32519,405,405,53.94,32.12,105.12,4.86,3.18,-6.5,23,1,1.052,2.89,-333593.36,743268,31793.31
FLIGHT_1006,B737,57414,119,39176,39522,457,459,27.01,40.13,36.92,4.75,3.32,2.84,32,0,1.008,1.88,163063.09,1253632,22117.02
FLIGHT_1007,A330,171656,686,32023,31607,461,461,100.83,34.95,616.48,8.36,5.69,26.48,32,0,1.019,1.71,4545576.0,1024736,266746.64
FLIGHT_1008,A320,56722,227,36675,36420,431,431,94.36,39.64,150.58,5.19,3.46,19.41,31,1,1.009,2.73,1100745.19,1136925,53931.45
FLIGHT_1009,B737,47960,182,38530,39029,465,463,71.73,37.62,106.65,4.53,3.06,25.7,27,1,1.008,2.74,1232576.46,1040310,39683.17
FLIGHT_1010,A320,54341,160,39311,39591,436,434,60.85,38.53,86.43,5.0,3.45,-0.03,23,1,0.993,0.04,-1708.34,904153,31491.02
FLIGHT_1011,A320,46292,166,36323,36496,452,452,64.42,33.35,98.37,5.06,3.32,-6.28,29,1,0.987,2.03,-290612.95,1053367,30094.41
FLIGHT_1012,B777,121660,710,35076,35174,467,467,71.59,36.0,636.77,6.78,4.73,20.56,34,0,1.001,0.81,2500864.26,1192584,222019.63
FLIGHT_1013,A320,56803,169,30899,31168,400,398,54.8,31.42,107.71,5.2,3.32,11.62,32,1,1.012,2.09,659997.73,988768,37170.85
FLIGHT_1014,B777,178212,502,33580,33900,428,426,95.83,34.06,431.42,8.94,5.69,28.23,26,0,0.997,2.32,5031529.03,873080,193604.39
FLIGHT_1015,A320,57297,65,40638,41096,471,470,139.65,38.28,0.0,5.28,3.33,18.21,31,1,0.991,0.49,1043252.89,1259778,16124.51
FLIGHT_1016,B777,161394,707,34029,33737,468,469,71.68,33.07,643.97,8.06,5.29,16.7,24,0,1.011,1.89,2694663.73,816696,248044.66
FLIGHT_1017,A330,170163,339,37983,38479,473,474,72.61,40.72,258.7,8.61,5.74,21.58,23,1,0.987,1.65,3671326.36,873609,125445.73
FLIGHT_1018,B737,51556,82,33395,32967,473,475,83.25,33.18,15.47,5.3,3.36,23.28,33,0,1.026,0.13,1200199.9,1102035,18993.42
